name,address,country,latitude,longitude,content/image/_url,TYPE
Swachh Public Toilet,"bhim Gary kheda, Gurgaon, Delhi NCR",IN,28.48550333,77.01194833,http://swachhtoilet.in/ToiletImages/1473844291348_4582.jpg,MISC
Swachh Public Toilet,"Kattar pur gurgaun, Gurgaon, Delhi NCR",IN,28.48916833,77.01150833,http://swachhtoilet.in/ToiletImages/1473769790654_6874.jpg,MISC
Swachh Public Toilet,"Bharat petrol pump Laxman vihar phes-1 main rail way road, Gurgaon, Delhi NCR",IN,28.48435833,77.012365,http://swachhtoilet.in/ToiletImages/1473759647052_6680.jpg,PETROL PUMP
Swachh Public Toilet,"Bharat petroleum naharpur near anaj mandi, Gurgaon, Delhi NCR",IN,28.4444206,77.0174833,http://swachhtoilet.in/ToiletImages/1473922615087_2087.jpg,PETROL PUMP
Swachh Public Toilet,"khera, Gurgaon, Delhi NCR",IN,28.488255,77.01213,http://swachhtoilet.in/ToiletImages/1473845911269_8652.jpg,MISC
Swachh Public Toilet,"Sec 5 gurgaoun, Gurgaon, Delhi NCR",IN,28.48454667,77.01264167,http://swachhtoilet.in/ToiletImages/1473495520320_8486.jpg,MISC
Swachh Public Toilet,"Ralway road gurgaun 122001, Gurgaon, Delhi NCR",IN,28.48472,77.01284833,http://swachhtoilet.in/ToiletImages/1473489861297_9995.jpg,MISC
Swachh Public Toilet,"Gurgaun ralwaystetion, Gurgaon, Delhi NCR",IN,28.49129333,77.01274667,http://swachhtoilet.in/ToiletImages/1473768619017_2563.jpg,MISC
Swachh Public Toilet,"Bharat petroleum Chawla road, Delhi, Delhi NCR",IN,28.55694833,77.00456,http://swachhtoilet.in/ToiletImages/1473233856902_9875.jpg,PETROL PUMP
Swachh Public Toilet,"sector 5, Gurgaon, Delhi NCR",IN,28.48190667,77.01397833,http://swachhtoilet.in/ToiletImages/1473843018852_2319.jpg,MISC
Swachh Public Toilet,"railway road market, Gurgaon, Delhi NCR",IN,28.480703,77.01418591,http://swachhtoilet.in/ToiletImages/1473848169409_8837.jpg,RAILWAY STATION
Swachh Public Toilet,"Ralwayroad, Gurgaon, Delhi NCR",IN,28.47987667,77.01511833,http://swachhtoilet.in/ToiletImages/1473490601663_8568.jpg,MISC
Swachh Public Toilet,"sector 5, Gurgaon, Delhi NCR",IN,28.47740333,77.01610833,http://swachhtoilet.in/ToiletImages/1473842103627_7455.jpg,MISC
Swachh Public Toilet,"sector 5, Gurgaon, Delhi NCR",IN,28.4770669,77.0163043,http://swachhtoilet.in/ToiletImages/1473841875592_8607.jpg,MISC
Swachh Public Toilet,"shivaji nagar main market, Gurgaon, Delhi NCR",IN,28.45232573,77.01944955,http://swachhtoilet.in/ToiletImages/1473841717593_2615.jpg,MISC
Swachh Public Toilet,"sector 4 new railway road, Gurgaon, Delhi NCR",IN,28.47679333,77.01640333,http://swachhtoilet.in/ToiletImages/1473841425100_9093.jpg,RAILWAY STATION
Swachh Public Toilet,"MCG office, Sector-34 Gurgaon, Gurgaon, Delhi NCR",IN,28.4276993,77.0226622,http://swachhtoilet.in/ToiletImages/1473843488369_2440.jpg,MISC
Swachh Public Toilet,"parkash.puri.rajeenda.park, Gurgaon, Delhi NCR",IN,28.50132667,77.013735,http://swachhtoilet.in/ToiletImages/1473843089082_3851.jpg,MISC
Swachh Public Toilet,"shanti nagar, Gurgaon, Delhi NCR",IN,28.45306957,77.02002716,http://swachhtoilet.in/ToiletImages/1473763783284_9578.jpg,MISC
Swachh Public Toilet,"shivaji nagar, khandsa road, Gurgaon, Delhi NCR",IN,28.45324677,77.02029499,http://swachhtoilet.in/ToiletImages/1473499694627_8598.jpg,MISC
Swachh Public Toilet,"siri.visvakarma.mandir.new.palam Bihar., Gurgaon, Delhi NCR",IN,28.50915833,77.01331333,http://swachhtoilet.in/ToiletImages/1473841163312_7337.jpg,MISC
Swachh Public Toilet,"new railway road, Gurgaon, Delhi NCR",IN,28.4730418,77.0179477,http://swachhtoilet.in/ToiletImages/1473839894932_5989.jpg,RAILWAY STATION
Swachh Public Toilet,"gurdwara.Singh.sabha.palam.vihar, Gurgaon, Delhi NCR",IN,28.50941167,77.01342,http://swachhtoilet.in/ToiletImages/1473842376805_6972.jpg,MISC
Swachh Public Toilet,"new.palam.Bihar. gauri.Shankar.Mandir, Gurgaon, Delhi NCR",IN,28.509845,77.01344,http://swachhtoilet.in/ToiletImages/1473841548742_1572.jpg,MISC
Swachh Public Toilet,"palam. Bihar.shree.gauri.Shankar.Mandir, Gurgaon, Delhi NCR",IN,28.509925,77.01346833,http://swachhtoilet.in/ToiletImages/1473841798430_7847.jpg,MISC
Swachh Public Toilet,"palam. Bihar. gurgaon.Kali.mata.mandir, Gurgaon, Delhi NCR",IN,28.51013667,77.013535,http://swachhtoilet.in/ToiletImages/1473841976534_9022.jpg,MISC
Swachh Public Toilet,"dayanand colony, Gurgaon, Delhi NCR",IN,28.47361833,77.01828333,http://swachhtoilet.in/ToiletImages/1473839233538_4446.jpg,MISC
Swachh Public Toilet,"shanti nagar market, Gurgaon, Delhi NCR",IN,28.45410892,77.02110639,http://swachhtoilet.in/ToiletImages/1473763882850_7720.jpg,MISC
Swachh Public Toilet,"palam Bihar bajgera.bijali.office, Gurgaon, Delhi NCR",IN,28.50996,77.01416833,http://swachhtoilet.in/ToiletImages/1473842187097_2724.jpg,MISC
Swachh Public Toilet,"day an and colony, Gurgaon, Delhi NCR",IN,28.47288333,77.01928333,http://swachhtoilet.in/ToiletImages/1473838727800_6516.jpg,MISC
Swachh Public Toilet,"near bhim nagar Greta Saar mandir, Gurgaon, Delhi NCR",IN,28.46941,77.02051833,http://swachhtoilet.in/ToiletImages/1473839091086_8511.jpg,MISC
